Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=1.5, popsize=30]. Average score of 30 iterations = 0.0023998311520704685.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=1.5, popsize=100]. Average score of 30 iterations = 0.003423137530374363.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=2.0, popsize=100]. Average score of 30 iterations = 0.00454908130636156.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.5, popsize=30]. Average score of 30 iterations = 0.0008511686415785626.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.0, popsize=100]. Average score of 30 iterations = 0.0013460410405220205.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=2.5, popsize=100]. Average score of 30 iterations = 0.000852200105198245.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=2.5, popsize=100]. Average score of 30 iterations = 0.0004664368855148891.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=1.5, popsize=30]. Average score of 30 iterations = 0.00040852597144449616.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=1.5, popsize=30]. Average score of 30 iterations = 0.0005510172352593282.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=1.5, popsize=100]. Average score of 30 iterations = 0.0010437823501201994.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=2.0, popsize=100]. Average score of 30 iterations = 0.005639386222073526.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.5, popsize=100]. Average score of 30 iterations = 0.000852200105198245.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=2.0, popsize=30]. Average score of 30 iterations = 0.00027861221444930084.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=1.5, popsize=100]. Average score of 30 iterations = 0.00041503857970069143.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.0, popsize=30]. Average score of 30 iterations = 0.0008070345583526512.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=2.0, popsize=30]. Average score of 30 iterations = 0.0022439953392868234.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=2.5, popsize=30]. Average score of 30 iterations = 0.00040852597144449616.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=2.5, popsize=30]. Average score of 30 iterations = 0.00029543328320814194.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=1.5, popsize=100]. Average score of 30 iterations = 0.0.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=2.5, popsize=100]. Average score of 30 iterations = 0.00010945831282580711.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=2.0, popsize=30]. Average score of 30 iterations = 0.0007523749294622171.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.5, popsize=100]. Average score of 30 iterations = 0.0021362337635094254.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=2.5, popsize=30]. Average score of 30 iterations = 0.0.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=1.5, popsize=30]. Average score of 30 iterations = 0.0003069225609013144.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=2.5, popsize=30]. Average score of 30 iterations = 0.0003219936940067541.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.5, popsize=30]. Average score of 30 iterations = 0.0.
Param values: [inertia weight=0.4, social constant=2.0, cognitive constant=2.0, popsize=30]. Average score of 30 iterations = 0.0002487585448575069.
Param values: [inertia weight=0.4, social constant=1.5, cognitive constant=2.0, popsize=100]. Average score of 30 iterations = 0.000532253370414488.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.0, popsize=30]. Average score of 30 iterations = 0.00011982212463897422.
Param values: [inertia weight=0.4, social constant=2.5, cognitive constant=2.0, popsize=100]. Average score of 30 iterations = 0.0004914430147111427.
